pb190,pe021,pl016,rl060,ph050,pb030,rl020,rb240,ph010,pd050,pl040b,pl040a,py080g,pl090,m_k,py020g,pd020,ph060,rl050,pl100,pl145,rb230,ph020,rl010,pl141,pd060,ap,pl060,rb220,hb030,pl051b,pl051a,py130g,py110g,py021g,pe041,py035g,py100g,pd030,rl040,pl111b,ph070,pl111a,pl073,pl150,pl271,pl074,pd070,pl075,py090n,ph030,pl032,pl076,pb205,py050n,py010n,pb200,py090g,sl,py050g,py030g,py010g,pe010,rb090,rb050,pl088,pl089,pl200,rl030,pd080,pl085,ph040,pl086,pl087,pl080,py120n,py140g,objectid,age,py120g
1,,,,,1000430001,,,3,2,,3,0,0,1,0,1,2,,,2,,1,,21,2,10,8,,10004300,,33,0,0,0,600,0,0,1,,,,64,0,2,0,12,2,0,0,,1,0,2,0,19351.17,3,0,1,0,690.98,31842.35,2,2,186.59934,0,0,16,,1,0,2,0,0,0,131.63,0,40,38,154.7
,,,,,1000430002,,,,,,,,,1,,,,,,,1000430001,,,,,10,,,10004300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,186.59934,,,,,,,,,,,,,41,13,
2,,3,,,1000450001,,1000450002,3,1,3,,0,0,1,0,1,,,,,,1,,,3,10,,,10004500,14,,0,0,0,450,0,4658.4,1,,93,,,0,,0,0,1,0,0,3,3,0,1,0,0,1,0,1,0,0,0,2,1,52.9409,0,0,35,,3,12,2,0,0,0,0,0,42,73,0
2,,3,,,1000450002,,1000450001,3,1,3,,0,0,1,0,3,,,,,,1,,,3,10,,,10004500,32,,0,0,0,600,0,12164.04,3,,,,,0,,,0,1,0,0,3,3,0,1,0,0,1,0,1,0,0,0,2,2,52.9409,0,0,,,3,12,2,0,0,0,0,0,43,81,0
4,,3,,,1000460001,,,3,1,3,,0,0,1,0,1,,,,,,,,,2,10,,,10004600,23,,0,418.68,0,600,0,6813,1,,,,,0,,,0,1,0,0,3,3,0,2,2.68,0,3,0,1,2.82,0,0,2,2,88.44731,0,0,48,,1,12,2,0,0,0,0,0,44,75,0
1,,,,,1000500001,,,2,1,,3,0,0,1,0,1,,,,1,,2,,21,3,10,40,,10005000,,21,0,0,0,700,898.15,0,1,,,,84,12,2,0,0,1,0,0,3,1,0,2,0,18340.6,3,0,1,0,529.91,29938.12,2,2,434.64664,0,0,5,,1,0,2,0,0,0,325.44,0,45,27,396.05
3,,,,,1000530001,,,2,1,,3,0,0,1,0,1,2,,,1,,2,,21,1,10,40,,10005300,,24,0,0,0,700,792.78,0,1,,,,45,12,2,0,0,1,0,0,3,1,0,2,0,16276.02,3,0,1,0,383.18,26426.12,2,2,136.46854,0,0,15,,1,0,2,0,0,0,0,0,46,39,0
,,,0,,1000530002,24,,,,,,,,1,,,,0,,,1000530001,,,,,10,,,10005300,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,2,136.46854,,,,16,,,,,,,,,47,11,
,,,0,,1000530003,,,,,,,,,1,,,,0,,,1000530001,,40,,,10,,,10005300,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,,,,2,136.46854,,,,0,,,,,,,,,48,7,
4,,3,,1,1000550002,,,,3,3,,0,0,1,0,3,,,,,,1,,,3,10,,,10005500,75,,0,606.55,0,340,0,10229.7,3,,,,,0,,,0,3,0,0,1,3,0,2,0,0,3,0,1,0,0,0,2,2,61.24802,0,0,,,1,12,1,0,0,0,0,0,49,75,0
